Nazwa,ECTS,Tryb,Kryteria
Od tekstu do ciała i z powrotem,3.0,zdalnie,"- regularne uczestnictwo w zajęciach, indywidualne prezentacje;
- praca semestralna na temat jednej lektury, wybranej samodzielnie"
"Szwajcaria, Austria i Liechtenstein obecnie",3.0,zdalnie,"Warunkiem zaliczenia przedmiotu jest obecność na zajęciach, aktywny w nich udział oraz uzyskanie z końcowego zaliczenia ustnego min. 60%.
Dopuszczalna liczba nieobecności to trzy, przy czym nieuczestniczenie w zajęciach nie zwalnia ze znajomości przerobionego materiału.
Zaliczenie ustne składa się z dwóch części:
1.	scharakteryzowanie wylosowanego zagadnienia dotyczące przerobionego materiału, używając słownictwa i struktur na poziomie B2
2.	trzyminutowa wypowiedź na wybrany przez siebie temat dotyczący Szwajcarii, Austrii i Liechtensteinu obecnie
Aby otrzymać ocenę pozytywną, należy uzyskać z każdej części min. 60%.
Punktacja:
60-67 %               3
68- 75%               3,5
76- 83%               4
84- 91%               4,5
92- 100%             5 
Forma i kryteria oceniania zaliczenia przedmiotu mogą ulec zmianie jedynie w zgodzie z regulacjami obowiązującymi w danym czasie na Uniwersytecie Warszawskim oraz w porozumieniu z uczestnikami zajęć."
Schnellkurs Oper,3.0,zdalnie,"testy i zadania on-line na platformie Kampus UW; oceny uzyskane z testów i zadań cząstkowych składają się na ocenę końcową, podstawą zaliczenia jest uzyskanie min. 60% w testach cząstkowych."
"Dlaczego syrena ze Starbucksa ma dwa ogony, czyli o wróżkach, wilkołakach, mandragorach i syrenach",3.0,zdalnie,Podstawą zaliczenia jest aktywne uczestnictwo w zajęciach oraz przygotowanie i przedstawienie krótkiego projektu.
Tureccy gastarbeiterzy i ich potomkowie w Niemczech. Historia Literatura Kultura,3.0,zdalnie,"Ocenione zostaną: przygotowanie
do zajęć, zaangażowanie, zdobyta wiedza. Ocena na podstawie ustnego zaliczenia pod koniec zajęć, możliwa także w postaci prezentacji (w zależności od liczby uczestników i raczej przy tradycyjnej formie zajęć).
Preferowany termin: czwartki 16.45-18.15 on-line"
Tematy tabu w literaturze i książce dla dzieci,3.0,zdalnie,"Obecność i aktywność na zajęciach, samodzielne poszukiwanie literatury, prezentacja przedstawiona na zajęciach.
W przypadku braku możliwości prowadzenia zajęć w formie stacjonarnej, zajęcia i zaliczenia (prezentacje, dyskusje)będą się odbywać przy użyciu narzędzi komunikacji na odległość - google classroom, google meet.
Forma i kryteria zaliczenia przedmiotu mogą ulec zmianie w zależności od aktualnej sytuacji epidemicznej. Równoważne warunki zaliczenia zostaną ustalone zgodnie z wytycznymi obowiązującymi na Uniwersytecie Warszawskim, w porozumieniu z uczestnikami zajęć."
Historia i kultura Francji Ip,2.0,w sali,"Na ocenę końcową (zaliczenie semestru) składają się następujące elementy:
- obecność na zajęciach. Dopuszczalne są 4 nieobecności, bez względu na to, czy są usprawiedliwione czy nie. 
- aktywność na platformie e-learningowej - podczas semestru słuchacze będą wykonywali określoną liczbę zadań. Średnia z tych zadań będzie składową oceny końcowej kursu.
- wynik z dwóch testów w sali - pierwszym z nich będzie test połówkowy, obejmujący materiał z połowy zajęć, drugim będzie test semestralny, obejmujący swym zakresem wszystkie tematy zrealizowane od początku do końca semestru.
Ocena końcowa będzie wyliczona według następujących proporcji:
- wynik z zadań realizowanych na platformie - 40%
- wynik z testów w sali - 60%
Aby otrzymać zaliczenie w I terminie należy zebrać minimum 60% możliwych do uzyskania punktów.
UWAGA - aby otrzymać zaliczenie w II terminie, należy zebrać minimum 70% możliwych do uzyskania punktów."
Konwersatorium literaturoznawcze - Iluzja i prawda w teatrze od Baroku po Romantyzm,3.0,w sali,"Warunki zaliczenia: aktywna obecność (znajomość przesłanych wcześniej fragmentów tekstów, jako punktu wyjścia do dyskusji), exposé lub animowanie debaty 10 min. na wybrany z kwestionariusza temat. Praca pisemna w klasie (w połowie semestru) i końcowy test (15 min) dopuszczają do ustnego egzaminu (lista lektur i zagadnienia podane na początku semestru).
 Powyżej dwóch nieobecności nieusprawiedliwionych (nie licząc pierwszych zajęć) następuje skreślenie z listy studentów. W razie trudności z połączeniem się na platformie, proszę o równolegly kontakt mailowy pod: i.m.zatorska@uw.edu.pl"
Konwersatorium literaturoznawcze I/IIp  : Przekraczanie granic we francuskiej literaturze średniowiecznej,3.0,w sali,"- Ocena aktywności na zajęciach
- Sprawdziany
- Praca pisemna
- Zaliczenie ustne"
Konwersatorium literaturoznawcze I/IIp: Obcość i bliskość literatury średniowiecznej,3.0,w sali,"Ocena aktywności na zajęciach (dopuszczalne są dwie nieusprawiedliwione nieobecności)
- Sprawdziany
- Praca pisemna
- Zaliczenie ustne"
Edukacja językowa w XXI wieku,2.0,w sali,"- opracowanie e-portfolio odnoszącego się do wybranego obszaru tematycznego poruszanego na zajęciach;
- bieżące monitorowanie obecności i aktywności;
- dyskusje w parach i grupach;
- krótkie formy pisemne w trakcie zajęć lub po zajęciach (wejściówki, response paper, podsumowania)
Kryteria oceniania zostaną ustalone w porozumieniu z uczestnikami na początku zajęć"
Historia i kultura Francji. Wykład w języku francuskim,3.0,mieszany: w sali i zdalniew sali,"Na ocenę końcową (zaliczenie semestru) składają się następujące elementy:
- obecność na zajęciach. Dopuszczalne są 4 nieobecności, bez względu na to, czy są usprawiedliwione czy nie. 
- aktywność na platformie e-learningowej - podczas semestru słuchacze będą wykonywali określoną liczbę zadań. Średnia z tych zadań będzie składową oceny końcowej kursu.
- wynik z dwóch testów w sali - pierwszym z nich będzie test połówkowy, obejmujący materiał z połowy zajęć, drugim będzie test semestralny, obejmujący swym zakresem wszystkie tematy zrealizowane od początku do końca semestru.
Ocena końcowa będzie wyliczona według następujących proporcji:
- wynik z zadań realizowanych na platformie - 40%
- wynik z testów w sali - 60%
Aby otrzymać zaliczenie w I terminie należy zebrać minimum 60% możliwych do uzyskania punktów.
UWAGA - aby otrzymać zaliczenie w II terminie, należy zebrać minimum 70% możliwych do uzyskania punktów."
Seminarium tematyczne: Między teorią psychologiczną a praktyką nauczania języków obcych: jak zoptymalizować działania dydaktyczne w świetle koncepcji poznawczej?,4.0,w sali,"Zaliczenie na ocenę. Warunki zaliczenia to obecność i aktywność na zajęciach (dopuszczalne 2 nieobecności nieusprawiedliwione); lektura wskazanych tekstów; przygotowanie prezentacji; zaliczenie testu końcowego. 
Informacja o aktualnym terminie dyżuru prowadzącej zajęcia znajduje się na stronie internetowej Instytutu Romanistyki."
Seminarium tematyczne : W poszukiwaniu (nowej?) tożsamości: quebecka literatura migracyjna,4.0,w sali,"Na ocenę końcową składają się Państwa obecności (tylko dwie nieobecności bez obowiązku zaliczania nieobecności na dyżurze), aktywność (kryteria podane podczas zajęć) (1/4 oceny), prezentacja (1/4 oceny) i test końcowy (1/2 oceny)."
Eko/geo/zoo/apo/trans - odpowiedzi literatury na kryzys środowiskowy,3.0,w sali,"- obecność obowiązkowa; Student, który opuści zajęcia więcej niż 2 razy będzie proszony o zgłoszenie się na dyżur w celu omówienia treści zajęć, w czasie których był nieobecny lub otrzyma dodatkowe pytanie na teście; 
- dwa testy (w środku i na koniec semestru)"
Wyzwania dla tłumacza tekstów starofrancuskich,3.0,w sali,Obecność obowiązkowa (dopuszczone 2 nieobecności). Zaliczenie wykładu na podstawie jednego testu pisemnego końcowego sprawdzającego znajomość wybranych problemów gramatycznych oraz rozumienie tekstu starofrancuskiego.
Język i kultura galisyjska A1,6.0,w sali,"Po każdej części studenci będą musieli napisać krótki test sprawdzający. Ponadto, będą oceniani za pracę na lekcji. Na koniec semetru będą musieli zdać test końcowy, który będzie się składał z części pisemnej i ustnej oraz będzie sprawdzał rozumienie ze słuchu i tekstu czytanego, pisanie i mówienie. 
Dozwolone są trzy nieobecności nieusprawiedliwione."
Język i kultura galisyjska B1,6.0,w sali,"Po każdej części studenci będą musieli napisać krótki test sprawdzający. Ponadto, będą oceniani za pracę na lekcji. Na koniec semetru będą musieli zdać test końcowy, który będzie się składał z części pisemnej i ustnej oraz będzie sprawdzał rozumienie ze słuchu i tekstu czytanego, pisanie i mówienie. 
Dozwolone są trzy nieobecności nieusprawiedliwione."
Język i kultura katalońska B1,4.0,w sali,"Studenci są oceniani w sposób ciągły na podstawie uczestnictwa i aktywności na zajęciach, realizacji zadań domowych oraz wyniku testów środsemestralnych. Warunkiem końcowego zaliczenia semestru jest zaliczenie wszystkich testów śródsemestralnych oraz testu końcowego."
Czytanie „cyklu muminkowego” Tove Jansson,3.0,w sali,Obecność i aktywność na zajęciach; krótka (ok. 5 stron) praca pisemna.
Techniki komunikacji niewerbalnej,3.0,zdalnie,"Na ocenę końcową składa się średnia z oceny za bieżącą pracę nad punktowanymi zadaniami kursowymi i z oceny za wykonanie pracy na zaliczenie w sali. Praca w sali obejmuje odpowiedź na kilka pytań otwartych, dotyczących zagadnień z całego kursu, a warunkiem dopuszczającym do jej wykonania  jest zaliczenie wszystkich zadań z kursu on-line.
Zaliczenie końcowe w sali odbywa się w pierwszym tygodniu sesji w budynku Wydziału Neofilologii przy Dobrej 55. 
Pełny regulamin kursu jest dostępny dla zarejestrowanych uczestników po zalogowaniu się na platformie COME i wejściu na stronę kursu."
Komunikacja multimodalna w interakcjach twarzą w twarz,3.0,zdalnie,"Kurs odbywa się on-line na platformie KAMPUS i składa się z 15 modułów. Co tydzień na platformie otwierany jest jeden moduł z artykułami naukowymi na dany temat i zadaniami do tego tematu, które trzeba wykonać w bieżącym tygodniu. Ostatni moduł stanowi podsumowanie kursu i zawiera przeglądowy quiz z 14 zrealizowanych tematów. Po zakończeniu kursu on-line odbywa się pisemne zaliczenie w sali, które polega na rozwiązaniu zadania nawiązującego do treści zadań z kursu. Ocena końcowa stanowi średnią dwóch ocen: oceny wystawianej na podstawie punktów za wykonanie zadań z 15 modułów na kursie i  oceny za wykonanie zadania zaliczeniowego w sali."
Komunikacja w praktyce - rozpoznawanie problemów,3.0,zdalnie,"Na ocenę końcową składa się średnia z oceny za bieżącą pracę nad punktowanymi zadaniami kursowymi i z oceny za wykonanie pracy na zaliczenie w sali. Praca w sali obejmuje odpowiedź na kilka pytań otwartych, dotyczących zagadnień z całego kursu, a warunkiem dopuszczającym do jej wykonania  jest zaliczenie wszystkich zadań z kursu on-line.
Zaliczenie końcowe w sali odbywa się w pierwszym tygodniu sesji w budynku Wydziału Neofilologii przy Dobrej 55. 
Pełny regulamin kursu jest dostępny dla zarejestrowanych uczestników po zalogowaniu się na platformie COME i wejściu na stronę kursu."
Komunikacja w praktyce - interpretacja i tworzenie tekstów użytkowych,3.0,zdalnie,"Na ocenę końcową składa się średnia z oceny za bieżącą pracę nad punktowanymi zadaniami kursowymi i z oceny za wykonanie pracy na zaliczenie w sali. Praca w sali polega na zredagowaniu lub przeredagowaniu jednego dłuższego tekstu lub kilku krótszych tekstów, reprezentujących gatunki omawiane na kursie, a warunkiem dopuszczającym do jej wykonania  jest zaliczenie wszystkich zadań z kursu on-line.
Zaliczenie końcowe w sali odbywa się w pierwszym tygodniu sesji w budynku Wydziału Neofilologii przy Dobrej 55. 
Pełny regulamin kursu jest dostępny dla zarejestrowanych uczestników po zalogowaniu się na platformie COME i wejściu na stronę kursu."
Studia z filozofii języka,3.0,zdalnie,"Aktywne uczestnictwo w zajęciach
Kontrola obecności"
Wybrane problemy kultury i praktycznej stylistyki języka polskiego,3.0,w sali,"Uczestnicy konwersatorium będą oceniani na podstawie obecności, aktywności na zajęciach oraz pracy zaliczeniowej (forma do uzgodnienia)."
Małżeństwo i rodzina w koncepcjach społecznych,3.0,w sali,"Ocena ciągła - uwzględnia
•	aktywne uczestnictwo w zajęciach
•	przygotowanie referatów/prezentacji, zarysu projektu badawczego (próba łączenia  teorii z badaniami)
•	kontrola obecności 
•	egzamin- do uzgodnienia"
Socjologia pracy,3.0,w sali,"Egzamin ustny. 
W ocenie będzie brana pod uwagę umiejętność interpretacji zagadnień z obszaru socjologii pracy na podstawie wybranych lektur i wykładu, oraz aktywność podczas wykładu.   
Szacunkowa, całkowita liczba godzin pracy studenta:  
30h - wykład z elementami konwersatorium, godziny kontaktowe 
50h  - praca własna studenta, zapoznanie się z lekturami, przygotowanie się do zajęć i egzaminu
Wybrane lektury do egzaminu (do ustalenia):
1. A. Giddens, Socjologia, PWN, Warszawa 2002, roz. 12: Nowoczesne organizacje, roz. 13, Praca i życie gospodarcze, s. 366-441.
2. U. Beck, Społeczeństwo ryzyka. W drodze do innej nowoczesności, Wydawnictwo Naukowe Scholar, Warszawa 2002,  roz. 6, Odstandaryzowanie pracy zarobkowej. Przyszłość wykształcenia i zatrudnienia, s. 206-231. 
3. W. Piotrowski, T. Olejniczak, Organizacja jako system, w: D. Latusek-Jurczak, T. Olejniczak, W. Piotrowski, Teoria organizacji, Poltext, Warszawa 2018, s. 100-128.
4. W. Piotrowski, Organizacja jako maszyna, w: D. Latusek-Jurczak, T. Olejniczak, W. Piotrowski, Teoria organizacji, Poltext, Warszawa 2018, s. 76-98.
5. G. Standing, Prekariat. Nowa niebezpieczna klasa, PWN, Warszawa 2014, roz. 1, s. 33-74. [dostęp: http://www.praktykateoretyczna.pl/prekariat/01_Prekariat_Rozdz.1.pdf].
6. E. Giermanowska, A. Mrozowicki, J. Róg-Ilnicka, Socjologia pracy w Polsce: Społeczno-gospodarcze i polityczne problemy instytucjonalizacji subdyscypliny, „Przegląd Socjologiczny” nr 3, 2019, s. 11-41. [dostęp: http://ojsltn.uni.lodz.pl/index.php/Przeglad-Socjologiczny/article/download/575/523]
7. D. Polkowska, Między światem realnym a wirtualnym: obietnice vs. rzeczywistość. Prekarna praca kierowcy Ubera? „Przegląd Socjologii Jakościowej” 2019,  t. 15, nr 4, s. 224–249.  Dostępny w Internecie: ‹www.przegladsocjologiijakosciowej.org›. 
8. K. Krzysztofek, Technologie cyfrowe w dyskursach o przyszłości pracy, „Studia Socjologiczne” 2015, nr. 4. 
http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.desklight-a65c3604-a801-479f-a583-779497082f13
9. M. Kostera. P. Niemiec, Chcemy odzyskać sens pracy, 31.10.2020, https://magazynkontakt.pl/chcemy-odzyskac-sens-pracy/
10. R. Góralska, Praca emocjonalna dorosłych. Pomiędzy skutecznością a wypaleniem zawodowym pracownika, „Edukacja Dorosłych”, 2015, nr 1 (172), s. 91-102."
How Do Cultures Think? Introduction to Cognitive Anthropology,3.0,w sali,(tylko po angielsku) Oral exam assessing participants’ grasp of the material presented in class and in assigned readings. The list of questions for the exam will be provided in the beginning of the semester.
Living in the age of anxiety. Sociology of risk in catastrophic times,3.0,w sali,"Active participation in discussions in the classroom (30%)
Preparing an essay (3000-4000 words) on risk-related topic, on the basis of three readings discussed during the class (70%)."
Pierwsze szkoły antropologiczne i ich mistrzowie: problematyka kultury,3.0,w sali,Praca pisemna na jeden z 4 tematów podanych na początku semestru.
Prawo i płeć,3.0,w sali,Studenci będą oceniani na podstawie eseju z zakresu tematyki zajęć oraz na podstawie obecności na zajęciach i przygotowanych prezentacji.
"Antropologia współczesności: teorie, metody, program badawczy",3.0,mieszany: w sali i zdalniew sali,"Zaliczenie wykładu odbywa się w trakcie egzaminu ustnego. Podczas egzaminu oceniane są: wiedza zawarta w materiale wykładowym i w lekturach obowiązkowych; umiejętność krytycznej analizy poznanych pojęć i teorii, umiejętność ich zastosowania do analizy zjawisk kultury współczesnej."
Antropologia prawa i wielość kultur prawnych,3.0,w sali,"Ocena ciągła (obecność)
Praca pisemna na wybrany temat w oparciu o własne badania antropologiczno-kulturowe
Egzamin pisemny
30 godzin kontaktowych
20 godzin przygotowania do egzaminu
20 godzin przygotowania do zajęć: pisanie pracy opartej na badaniach własnych
10 godzin przygotowania do zajęć – czytanie i analiza lektur"
Dane zastane i wytwarzane: badanie przekazów ikonicznych,2.0,mieszany: w sali i zdalniew sali,"1) Na zajęciach typu warsztatowego obecność jest szczególnie ważna ze względu na ciągłość pracy. Każda nieobecność musi być uzasadniona, a materiał nadrobiony. 
2) Liczy się również aktywność, w tym wywiązywanie się z dostarczania materiału wizualnego do kolejnych zajęć oraz aktywność na zajęciach.
3) Na zaliczenie przedmiotu trzeba przygotować raport badawczy zawierający analizę wybranego materiału ikonicznego co najmniej dwoma metodami."
Prawo o organizacjach pozarządowych,3.0,w sali,"Najważniejszą formą weryfikacji i oceniania osiągniętych przez studenta efektów uczenia się jest egzamin pisemny zawierający kilkanaście pytań otwartych. Student powinien wykazać się umiejętnościami przedstawionymi w rubryce „efekty uczenia się”. Oznacza to w szczególności znajomość szczegółowych zagadnień teoretycznych i praktycznych zasad funkcjonowania organizacji pozarządowych w Polsce oraz wybranych krajach europejskich, ich funkcji społecznych, problematyki współpracy z administracją publiczną, zasad wspierania organizacji pozarządowych ze środków publicznych i pozyskiwania funduszy z innych źródeł (fundraising), zasad funkcjonowania i skali zjawiska wolontariatu w Polsce, mechanizmu alokacji 1% oraz problematyki prowadzenia konsultacji społecznych."
Rodzina w dyskursie społecznym,2.0,w sali,"1.	Ocena ciągła – uwzględniająca:
* obecność na zajęciach
* przygotowanie do zajęć
* aktywność na zajęciach 
2.  prezentacja - przygotowana indywidualnie/grupowo
3.  praca zaliczeniowa – forma  do uzgodnienia"
Warsztaty pisarskie,2.0,mieszany: w sali i zdalnie,"• Punktualność nadsyłania zadań pisarskich + jakość tekstów (z uwzględnieniem indywidualnych postępów), 
• obecność i udział w zajęciach (łącznie z lekturą tekstów pisanych przez pozostałych uczestników zajęć),
• wybranie i poprawienie jednego z zadań na koniec warsztatów."
Zarządzanie projektami,2.0,w sali,"Forma zaliczenia: Warunkiem zaliczenia jest wypełnienie zobowiązań związanych z aktywnym udziałem w zajęciach, a obejmujących obecności na cotygodniowych spotkaniach oraz przygotowanie i prezentacja założeń własnego projektu (praca grupowa w zespołach)"
Zarządzanie różnymi grupami pracowników,2.0,w sali,"ocena ciągła związana z obecnością na zajęciach (dozwolone są max. 2 nieobecności) i przygotowaniem do zajęć. Kolokwium na ocenę. Konieczność przygotowane scenariusza szkolenia przeznaczonego dla organizacji (praca zespołowa).
50% oceny końcowej= wynik kolokwium
50% oceny końcowej = ocena z prezentacji zespołowej"
Socjologia przestępczości: spory wokół polityki karania,3.0,w sali,"Egzamin (test)
Liczba nieobecności podlegających usprawiedliwieniu: 4
Zasady zaliczenia poprawkowego: egzamin ustny
Do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu) – 15h"
Siły zbrojne i wojna,3.0,w sali,"Zajęcia kończyć się będą egzaminem pisemnym z czterema pytaniami otwartymi, z których egzaminowani będą odpowiadać na trzy. Oceniana będzie posiadana przez nich wiedza oraz umiejętność jej wykorzystania. Pytania zostaną podane z wyprzedzeniem, a odpowiadając na nie uczestnicy będą mogli skorzystać z przygotowanych przez siebie materiałów.
Dopuszczalna liczba nieobecności: trzy. Po przekroczeniu limitu trzech nieobecności należy zaliczać przygotowując prace pisemne na tematy poruszane na wykładzie.
Egzamin poprawkowy będzie mieć formą identyczną jak ten w pierwszym terminie.
Do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu/ napisania eseju) – 10h"
"Antropologia. Historia, teoria i praktyka badawcza",3.0,w sali,"Egzamin ustny
Wymagania egzaminacyjne – znajomość treść wykładów oraz wybranych zagadnień  z następujących lektur:· 
Barth F., Gingrich A., Parkin R., Silverman S., Antropologia. Jedna dyscyplina, cztery tradycje: brytyjska, niemiecka, francuska i amerykańska, Wyd. UJ, Kraków 2007.· 
Bernard A., Antropologia. Zarys teorii i historii, PIW, Warszawa 2006.· 
Kuper A., Między charyzmą a rutyną. Szkice z brytyjskiej antropologii społecznej 1982 –1982, Wyd. Łódzkie, Łódź 1986
Nowicka E., Świat człowieka - świat kultury, Wydanie nowe, Wydawnictwo PWN, Warszawa 2006.
Deliege R., Historia Antropologii, Oficyna Naukowa, Warszawa 2011."
Dziedzictwo kulturowe i pamięć społeczna w ujęciu antropologicznym i socjologicznym,3.0,w sali,"Egzamin pisemny
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2
Zasady zaliczania poprawkowego: Egzamin ustny
do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu) – 10h"
Socjologia dewiacji,3.0,w sali,Pisemnie - test
Socjologia ekonomiczna,3.0,w sali,"Zaliczenie zajęć odbywa się w formie egzaminu pisemnego (test z pytaniami zamkniętymi i otwartymi). Zaliczenie poprawkowe na takich samych warunkach, jak w pierwszym terminie. Dopuszczalne trzy nieobecności w ciągu semestru."
Socjologia migracji,3.0,w sali,"Egzamin pisemny
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 4
Zasady zaliczania poprawkowego: takie same jak w pierwszym terminie
Korzystanie z narzędzi generatywnej sztucznej inteligencji, takich jak ChatGPT, jest dozwolone w przypadku wybranych zadań kursowych/zaliczeniowych. Domyślnie korzystanie z takich narzędzi jest zabronione, chyba że wyraźnie zaznaczono inaczej. Każde użycie musi zostać odpowiednio opisane i/lub zacytowane. Studenci/tki ponoszą odpowiedzialność za wszystkie treści wygenerowane z użyciem narzędzi AI."
Wprowadzenie do socjologii polityki,3.0,zdalnie,Egzamin ustny obejmujący treści wykładu i literatury obowiązkowej.
"Wprowadzenie do teorii wyboru społecznego: decyzje, kooperacja, konkurencja, sprawiedliwość.",3.0,w sali,"egzamin pisemny, 
obecność 
egzamin poprawkowy pisemny
Do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu) – 15h"
Socjologia kampanii wyborczej,3.0,w sali,egzamin pisemny Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 Zasady zaliczania poprawkowego: egzamin ustny w sesji jesiennej
Socjologia interakcji społecznych,3.0,w sali,"Egzamin pisemny: udzielenie krótkiej (ok. 100 słów) odpowiedzi na trzy pytania problemowe
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2
Zasady zaliczania poprawkowego: Egzamin ustny: udzielenie krótkiej ustnej odpowiedzi na trzy pytania problemowe
do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu/ napisania eseju) – 10h"
Socjologia kulturowa,3.0,w sali,"Wysłuchanie wykładów, znajomość lektur, egzamin pisemny
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu - 2 
Zasady zaliczania poprawkowego, takie same jak w pierwszym terminie: egzamin pisemny
Do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu/ napisania eseju) – 10h"
Socjologia lokalności,3.0,w sali,Egzamin pisemny i obecność na wykładach.
African popular and mass culture,3.0,w salizdalnie,"kontrola obecności 
bieżące przygotowanie do zajęć i branie udziału w dyskusji na podstawie zadanych lektur
projekty studenckie"
"Gender, race, class and religion. Feminist theories in Africa",3.0,w sali,"(tylko po angielsku) Requirements for credit:
-attendance control (A student can be absent a maximum of twice during the semester. In the case of absence due to illness, the medical certificate excusing this absence should be submitted within seven days of the last day of the leave specified in the certificate.)
-continuous assessment
-semester paper."
Issues in African linguistics and communication,3.0,zdalnie,"- kontrola obecności 
- ocena aktywności na zajęciach (uczestnictwa w dyskusji nad tematyką lektur)
- końcowe zaliczenie (test pisemny)"
Issues in contemporary African literatures,3.0,w sali,"Do zaliczenia będą dopuszczane osoby obecne na co najmniej połowie ogólnej liczby spotkań.
Studenci są zobowiązani do czytania zadawanych na bieżąco lektur, które będą omawiane podczas zajęć.
Podstawą do zaliczenia jest przygotowanie i przedstawienie podczas zajęć prezentacji na uzgodniony z prowadzącym temat."
Postcolonial perspectives in African Studies,3.0,w sali,"(tylko po angielsku) Requirements for credit:
-attendance control (A student can be absent a maximum of twice during the semester. In the case of absence due to illness, the medical certificate excusing this absence should be submitted within seven days of the last day of the leave specified in the certificate.)
-continuous assessment
-semester paper."
Symbole władzy w Afryce,1.0,w sali,Ocena zostanie wystawiona na podstawie zaangażowania i przygotowania w oparciu o wcześniej przesłane materiały.
Myśl filozoficzna i teologiczna islamu,3.0,w sali,"egzamin ustny
Kontrola obecności - dopuszczalne dwie nieobecności, czyli 4 godz., w semestrze; w przypadku nieobecności spowodowanej chorobą zaświadczenie lekarskie usprawiedliwiające tę nieobecność powinno zostać przedłożone w terminie siedmiu dni roboczych od wskazanej w nim daty zakończenia zwolnienia."
Religia starożytnego Egiptu,2.0,w sali,"Warunki zaliczenia:
- obecność,
- test wielokrotnego wyboru na koniec semestru"
"Historia Azji Środkowej i Mongolii (cz. 2, XX i XXI w.)",3.0,w sali,EGZAMIN PISMENY
Co można wyczytać ze słownictwa tekstów biblijnych - wybrane zagadnienia z semantyki leksykalnej,3.0,w sali,"Metody i kryteria oceniania
Aktywność na zajęciach (30%)
Opracowanie i prezentacja na zajęciach wybranego zagadnienia bądź omówienie artykułu (30%)
Egzamin lub krótki esej (40%)"
Dzieje narodu żydowskiego od starożytności do Haskali,2.0,w sali,"Końcowa ocena zaliczająca jest średnią obliczoną na podstawie ocen z egzaminu końcowego (testu), eseju lub referatu oraz obecności i aktywności na zajęciach."
Lektura wybranych ksiąg Nowego Testamentu przez pryzmat wczesnych tekstów judaizmu,3.0,w sali,"Aktywność na zajęciach (30%)
Opracowanie i prezentacja na zajęciach wybranego zagadnienia bądź omówienie artykułu (30%)
Egzamin lub krótki esej (40%)"
Państwo Izrael-instytucje i polityka,2.0,w sali,"Zaliczenie na ocenę na podstawie:
* kontroli obecności,
* aktywnego uczestnictwa w zajęciach,
* pisemnego egzaminu końcowego (test + pytanie otwarte).
Frekwencja: 
Zgodnie z zarządzeniem KJD WO UW z dnia 31.07.2021:
- ""dopuszczalna liczba nieobecności nieusprawiedliwionych na zajęciach wynosi 15%""
- ""łączna liczba nieobecności usprawiedliwionych i nieusprawiedliwionych umożliwiająca podejścia do egzaminu wynosi 30%""
- ""Student winien usprawiedliwić nieobecność na zajęciach niezwłocznie i nie później niż w terminie 7 dni od ustania jej przyczyny. W szczególnie uzasadnionych przypadkach wykładowca może usprawiedliwić nieobecność po tym terminie."""
Europejczycy w Japonii 1543-1853,3.0,w sali,"Ocena ciągła, której podstawę stanowią:
- przygotowanie studenta do zajęć
- aktywny udział w dyskusji
- rozmowa - zaliczenie ustne na koniec semestru (dla chętnych)
- obecność na zajęciach"
Niematerialne dziedzictwo kultury w Japonii,3.0,w sali,"Zaliczenie zajęć na podstawie referatu wygłoszonego w czasie zajęć wg tematów zaproponowanych przez prowadzącą na pierwszych zajęciach (50%), aktywność na zajęciach i czytanie zadanych lektur (50%).
Obecnośc obowiązkowa, dopuszczone dwie nieusprawiedliwione nieobecności."
Stosunki polsko-japońskie w XX-XXI w.,3.0,w sali,"- egzamin ustny 
- obecność na zajęciach"
Kultura biznesu w Azji i Afryce,2.0,w sali,"Obecność na zajęciach
Test jednokrotnego wyboru (pisemny)."
Konwersatorium - języki i kultury Afryki,2.0,zdalnie,"Zaliczenie na ocenę. 
Wymagane 100% obecności, udział w dyskusji i praca pisemna."
Buddyjski modernizm,2.0,w sali,Obecność i aktywny udział w warsztatach.
Dyplomacja(Z),3.0,zdalnie,Egzamin na koniec semestru - test pisemny
