Nazwa,ECTS,Tryb,Kryteria,kategorie
Socjologia interakcji społecznych,3.0,w sali,"Egzamin pisemny: udzielenie krótkiej (ok. 100 słów) odpowiedzi na trzy pytania problemowe
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2
Zasady zaliczania poprawkowego: Egzamin ustny: udzielenie krótkiej ustnej odpowiedzi na trzy pytania problemowe
do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu/ napisania eseju) – 10h",Socjologia i antropologia
Socjologia kulturowa,3.0,w sali,"Wysłuchanie wykładów, znajomość lektur, egzamin pisemny
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu - 2 
Zasady zaliczania poprawkowego, takie same jak w pierwszym terminie: egzamin pisemny
Do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu/ napisania eseju) – 10h",Socjologia i antropologia
Socjologia płci,3.0,w sali,,Socjologia i antropologia
Socjologia lokalności,3.0,w sali,Egzamin pisemny i obecność na wykładach.,Socjologia i antropologia
African popular and mass culture,3.0,w salizdalnie,"kontrola obecności 
bieżące przygotowanie do zajęć i branie udziału w dyskusji na podstawie zadanych lektur
projekty studenckie",Inne
"Gender, race, class and religion. Feminist theories in Africa",3.0,w sali,"(tylko po angielsku) Requirements for credit:
-attendance control (A student can be absent a maximum of twice during the semester. In the case of absence due to illness, the medical certificate excusing this absence should be submitted within seven days of the last day of the leave specified in the certificate.)
-continuous assessment
-semester paper.",Inne
Issues in African linguistics and communication,3.0,zdalnie,"- kontrola obecności 
- ocena aktywności na zajęciach (uczestnictwa w dyskusji nad tematyką lektur)
- końcowe zaliczenie (test pisemny)",Inne
Issues in contemporary African literatures,3.0,w sali,"Do zaliczenia będą dopuszczane osoby obecne na co najmniej połowie ogólnej liczby spotkań.
Studenci są zobowiązani do czytania zadawanych na bieżąco lektur, które będą omawiane podczas zajęć.
Podstawą do zaliczenia jest przygotowanie i przedstawienie podczas zajęć prezentacji na uzgodniony z prowadzącym temat.",Inne
Literatury Afryki 1,2.0,w sali,,Inne
Postcolonial perspectives in African Studies,3.0,w sali,"(tylko po angielsku) Requirements for credit:
-attendance control (A student can be absent a maximum of twice during the semester. In the case of absence due to illness, the medical certificate excusing this absence should be submitted within seven days of the last day of the leave specified in the certificate.)
-continuous assessment
-semester paper.",Inne
Symbole władzy w Afryce,1.0,w sali,Ocena zostanie wystawiona na podstawie zaangażowania i przygotowania w oparciu o wcześniej przesłane materiały.,Inne
Contemporary Africa: opportunities and challenges,3.0,w sali,,Inne
Myśl filozoficzna i teologiczna islamu,3.0,w sali,"egzamin ustny
Kontrola obecności - dopuszczalne dwie nieobecności, czyli 4 godz., w semestrze; w przypadku nieobecności spowodowanej chorobą zaświadczenie lekarskie usprawiedliwiające tę nieobecność powinno zostać przedłożone w terminie siedmiu dni roboczych od wskazanej w nim daty zakończenia zwolnienia.",Inne
Dzieje starożytnego Egiptu,2.0,w sali,,Inne
Religia starożytnego Egiptu,2.0,w sali,"Warunki zaliczenia:
- obecność,
- test wielokrotnego wyboru na koniec semestru",Filozofia i religia
"Historia Azji Środkowej i Mongolii (cz. 2, XX i XXI w.)",3.0,w sali,EGZAMIN PISMENY,Historia i archeologia
Co można wyczytać ze słownictwa tekstów biblijnych - wybrane zagadnienia z semantyki leksykalnej,3.0,w sali,"Metody i kryteria oceniania
Aktywność na zajęciach (30%)
Opracowanie i prezentacja na zajęciach wybranego zagadnienia bądź omówienie artykułu (30%)
Egzamin lub krótki esej (40%)",Inne
Dzieje narodu żydowskiego od starożytności do Haskali,2.0,w sali,"Końcowa ocena zaliczająca jest średnią obliczoną na podstawie ocen z egzaminu końcowego (testu), eseju lub referatu oraz obecności i aktywności na zajęciach.",Inne
Lektura wybranych ksiąg Nowego Testamentu przez pryzmat wczesnych tekstów judaizmu,3.0,w sali,"Aktywność na zajęciach (30%)
Opracowanie i prezentacja na zajęciach wybranego zagadnienia bądź omówienie artykułu (30%)
Egzamin lub krótki esej (40%)",Inne
Państwo Izrael-instytucje i polityka,2.0,w sali,"Zaliczenie na ocenę na podstawie:
* kontroli obecności,
* aktywnego uczestnictwa w zajęciach,
* pisemnego egzaminu końcowego (test + pytanie otwarte).
Frekwencja: 
Zgodnie z zarządzeniem KJD WO UW z dnia 31.07.2021:
- ""dopuszczalna liczba nieobecności nieusprawiedliwionych na zajęciach wynosi 15%""
- ""łączna liczba nieobecności usprawiedliwionych i nieusprawiedliwionych umożliwiająca podejścia do egzaminu wynosi 30%""
- ""Student winien usprawiedliwić nieobecność na zajęciach niezwłocznie i nie później niż w terminie 7 dni od ustania jej przyczyny. W szczególnie uzasadnionych przypadkach wykładowca może usprawiedliwić nieobecność po tym terminie.""",Prawo i polityka
Europejczycy w Japonii 1543-1853,3.0,w sali,"Ocena ciągła, której podstawę stanowią:
- przygotowanie studenta do zajęć
- aktywny udział w dyskusji
- rozmowa - zaliczenie ustne na koniec semestru (dla chętnych)
- obecność na zajęciach",Inne
Niematerialne dziedzictwo kultury w Japonii,3.0,w sali,"Zaliczenie zajęć na podstawie referatu wygłoszonego w czasie zajęć wg tematów zaproponowanych przez prowadzącą na pierwszych zajęciach (50%), aktywność na zajęciach i czytanie zadanych lektur (50%).
Obecnośc obowiązkowa, dopuszczone dwie nieusprawiedliwione nieobecności.",Inne
Stosunki polsko-japońskie w XX-XXI w.,3.0,w sali,"- egzamin ustny 
- obecność na zajęciach",Inne
Współczesna Japonia - wybrane zagadnienia,3.0,w sali,,Inne
Kultura biznesu w Azji i Afryce,2.0,w sali,"Obecność na zajęciach
Test jednokrotnego wyboru (pisemny).",Języki i kultury świata
Konwersatorium - języki i kultury Afryki,2.0,zdalnie,"Zaliczenie na ocenę. 
Wymagane 100% obecności, udział w dyskusji i praca pisemna.",Inne
Buddyjski modernizm,2.0,w sali,Obecność i aktywny udział w warsztatach.,Inne
Dyplomacja(Z),3.0,zdalnie,Egzamin na koniec semestru - test pisemny,Inne
Workshop: Major themes of African history,2.0,w sali,,Inne
Muzea w wielokulturowym świecie,3.0,w sali i w terenie,"Bieżące przygotowanie do zajęć i aktywność.
Ocena z egzaminu na podstawie wiedzy zdobytej podczas wykładów i z zalecanych lektur.",Inne
Muzułmanie na Zachodzie,2.0,w sali,,Inne
Negocjacje międzykulturowe,2.0,w sali,,Inne
Personal branding w środowisku wielokulturowym,1.0,w sali,,Inne
Prawa człowieka,2.0,mieszany: w sali i zdalniew sali,"- aktywne uczestnictwo w zajęciach (m.in. monitorowanie sytuacji praw człowieka w wybranym regionie Azji lub Afryki)
- prezentacja ustna
- esej pisemny / test końcowy
- kontrola obecności (dopuszczalne dwie nieobecności, czyli 4 godz., w semestrze; w przypadku nieobecności spowodowanej chorobą zaświadczenie lekarskie usprawiedliwiające tę nieobecność powinno zostać przedłożone w terminie siedmiu dni od wskazanej w nim daty zakończenia zwolnienia)",Inne
Workshop: Post-Independent Africa: The challenges and possible sulutions,2.0,w sali,,Inne
Rola więzi społecznych w procesie komunikacji w społeczeństwie koreańskim,1.0,w sali,,Inne
Stosunki międzynarodowe w Azji i Afryce z uwzględnieniem historii obszarów  - wykład i ćwiczenia,3.0,w sali,"Wymagana obecność na zajęciach ćwiczeniowych, dopuszczona jedna nieobecność w semestrze. 
Ocena na podstawie egzaminu oraz aktywności na zajęciach ćwiczeniowych.",Inne
Teoria komunikacji,3.0,w sali,"Ocena z egzaminu pisemnego (lub, jeśli niebędzie możliwości przeprowadzenia stacjonarnego egzaminu pisemnego, z egzaminu ustnego on-line) na podstawie wiedzy zdobytej w trakcie wykładów oraz z zalecanych lektur. Jeśli nie będzie możliwe stacjonarne przeprowadzenie egzaminu pisemnego, egzamin on-line będzie miał formę ustną.",Inne
Kurs na Równość - przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu.",Równość i prawa człowieka
Historia Azji Środkowej i Mongolii (cz.1) (Z),2.0,mieszany: w sali i zdalniew sali,"OBECNOŚĆ NA ZAJĘCIACH, EGZAMIN PISEMNY / USTNY
EGZAMIN PISEMNY / USTNY",Historia i archeologia
Historia Tybetu,3.0,mieszany: w sali i zdalniew sali,"OBECNOŚC NA ZAĘCIACH, EGZAMIN PISEMNY",Historia i archeologia
Religie Tybetu,3.0,mieszany: w sali i zdalniew sali,"OBECNOŚC NA ZAJĘCIACH, EGZAMIN PISEMNY I USTNY",Inne
"Textology, orality and performing arts in Asia and Africa - lecture(15h) and seminar(30h)",4.0,w sali,Exam,Inne
Sztuka i estetyka Tybetu,3.0,w sali,"OBECNOŚC NA ZAJĘCIACH, EGZAMIN PISEMNY",Inne
Nie tylko Pamuk: literatura turecka po polsku,3.0,mieszany: w sali i zdalniew salizdalnie,"Ocena ciągła (50%) - przygotowanie do zajęć i aktywność podczas nich (student przygotowuje się do spotkania poprzez lekturę dostarczonego przez prowadzącego tekstu - opowiadania lub fragmentu powieści, aby móc efektywnie uczestniczyć w zajęciach, zadawać pytania, brać udział w dyskusji). 
Zaliczenie ustne (50%) - maks. 15 minutowe wystąpienie na temat wybranej powieści tureckiej przełożonej na j. polski przeczytanej w całości, odpowiedź na ew. pytania dotyczące utworu, autora, kontekstu historycznego i kulturowego.
Dozwolone są dwie nieusprawiedliwione nieobecności w semestrze. Nieobecność, usprawiedliwiona bądź nie, na więcej niż 50% zajęć skutkuje niedopuszczeniem do egzaminu.",Języki i kultury świata
Buddhism,4.0,w sali,egzamin pisemny (test),Inne
Islam,4.0,w sali,egzamin pisemny (test),Inne
Indian Buddhist Monasticism: Special Topic Lecture (Buddhism),3.0,w sali,Zaliczenie na ocenę w formie pisemnej (test).,Inne
Interreligious Relations and Dialogue (Religion and Society in Asia and Africa),3.0,w sali,Egzamin pisemny (test),Inne
Other Religions and Beliefs of Asia and Africa (Z),3.0,w sali,"Aktywność na zajęciach, egzamin pisemny (test).",Inne
Religious Arts and Symbols (Religion and Society in Asia and Africa),3.0,w sali i w terenie,Written exam (test). A minimum score of 60% is required to pass.,Inne
Religious Conflicts and Controversial Issues (Religion and Society in Asia and Africa),3.0,w sali,Egzamin pisemny (test),Inne
Różnorodność kulturowa i religijna Azerbejdżanu,3.0,w sali,"Egzamin ustny
Stopień przyswojenia materiału omawianego podczas zajęć, aktywność w dyskusji.
Ze względu na monograficzny i autorski charakter wykładu, obecność na zajęciach stanowi podstawę zaliczenia. Treści prezentowane podczas zajęć nie są w pełni
dostępne w ogólnodostępnej literaturze przedmiotu, a stanowią oryginalne opracowanie merytoryczne opracowane przez prowadzącego.
 100% obecności – 50 punktów (ocena dostateczna – 3.0)
 2. Egzamin ustny (50% oceny):
Podczas egzaminu student odpowiada na kilka pytań z materiału omawianego na wykładach. Ocena zależy od poziomu szczegółowości odpowiedzi oraz znajomości
kontekstu i kluczowych zagadnień.
 Bardzo dobra (5.0): pełna i wyczerpująca odpowiedź, znajomość szczegółów
i kontekstu.
 Dobry plus (4.5): odpowiedź poprawna z drobnymi brakami.
 Dobry (4.0): poprawna odpowiedź na większość pytań.
 Dostateczny plus (3.5): odpowiedzi ogólne, z podstawową znajomością tematu.
 Dostateczny (3.0): minimalne odpowiedzi na pytania, ale wykazanie się podstawową wiedzą",Inne
Religious Texts in Asia and Africa (Z),3.0,w sali,egzamin pisemny,Inne
Savoir vivre w kulturach Azji i Afryki,2.0,w sali,udział i aktywność na zajęciach oraz końcowy test sprawdzający nabytą wiedzę,Inne
Historia Turcji II,3.0,mieszany: w sali i zdalniew sali,"Student powinien zapoznać się ze źródłami historycznymi i literaturą szczegółową (co najmniej 6 pozycji) wybranymi przez siebie z listy dostarczonej przez wykładowcę. Zakres końcowego egzaminu obejmować będzie oprócz faktografii z wykładu i podręczników również treść tych lektur.
Egzamin ustny",Historia i archeologia
Kultura Azerbejdżanu,3.0,w sali,Egzamin ustny: obejmujący materiał omówiony podczas wykładów,Języki i kultury świata
Współczesna Afryka: zagadnienia społeczno-polityczne,3.0,w sali,"- Kontrola obecności. Dopuszczalne dwie nieobecności (czyli 4 godz.) w semestrze. W przypadku nieobecności spowodowanej chorobą
zaświadczenie lekarskie usprawiedliwiające tę nieobecność powinno zostać przedłożone w terminie siedmiu dni od wskazanej w nim daty
zakończenia zwolnienia.
- Aktywne uczestnictwo w zajęciach: udział w dyskusjach na temat aktualnych wydarzeń w regionie
- Prezentacja ustna
- Test końcowy",Inne
Antropologia etniczności i nacjonalizmu1,3.0,w sali,"-             egzamin pisemny.
-             kontrola obecności.",Socjologia i antropologia
"Wprowadzenie do religioznawstwa - definicje, teorie, problemy",3.0,w sali,,Inne
Państwa i narody Kaukazu. Historia i kultura,3.0,,praca pisemna (esej) na zakończenie kursu,"Historia i archeologia, Języki i kultury świata"
Ateizm i radziecka propaganda antyreligijna,3.0,,Egzamin pisemny lub ustny,Inne
Białoruś 2020,3.0,zdalnie,"Wymogi:
1. Obecność
- max. 3 nieobecności;
- powyżej 3 nieobecności - zaliczenie poszczególnych tematów;
- od 7 nieobecności - skreślenie.
2. Test zaliczeniowy:
- test w pierwszy wtorek po zakończeniu wykładu, wtorek 18.30-20.00;
- pytania zamknięte;
3. Poprawka w sesji poprawkowej",Inne
Białoruskie elity polityczne: od homo sovieticus do elit narodowych,3.0,,"Obecność i aktywność na zajęciach;
Zaliczenie - egzamin końcowy lub esej.",Inne
Białorusini a idea jedności wschodniosłowiańskiej w XIX-XXI wieku,3.0,zdalnie,"- ocenianie ciągłe w trakcie zajęć, w tym weryfikacja znajomości pozycji z listy lektur
- praca pisemna /esej/ i prezentacja na zakończenie kursu
- test",Inne
Białoruski nacjonalizm na tle procesów narodotwórczych w Europie w XIX i XX wieku,3.0,zdalnie,"- praca pisemna /esej/ czyli prezentacja wybranego tematu na zakończenie kursu
 - praca pisemna /test/ na zakończenie kursu
 - frekwencja na zajęciach.",Inne
"Czechosłowacja - historia, kultura, społeczeństwo. 1918-1992",3.0,,"egzamin końcowy, pisemny na platformie Kampus","Historia i archeologia, Języki i kultury świata"
"Dawna Rzeczpospolita w kulturach pamięci Białorusi, Litwy i Ukrainy",3.0,,"W ocenie będą stosowane następujące kryteria:
-obecność na zajęciach (dopuszczalna liczba  nieusprawiedliwionych nieobecności – 3)
- egzamin pisemny na zakończenie kursu",Inne
Domestic Sources of US Foreign Policy in the Post-Soviet Era,4.0,lektura monograficznazdalnie,"(tylko po angielsku) No more than two absences from class are allowed; students are expected to attend all classes, on time. Class discussion accounts for 25% of the grade; if you don't participate actively in class your grade will suffer. A final, analytical essay on a mutually agreeable topic is mandatory, to be submitted in English via email. Detailed requirements for the essay and a non-extendable due date will be announced in class.",Inne
"The economic model of Belarus under A. Lukashenka’s regime: emergence, functioning, social and political consequences",4.0,,Aktywność studenta na zajęciach + egzamin ustny,Inne
Elity polityczne w procesie transformacji państw postradzieckich (Политические элиты в процессе трансформации постсоветских государств),3.0,,"Эссе (6-8 тыс. знаков) на одну из тем в рамках занятий или устный экзамен.
Дополнительным критерием финальной оценки будет посещаемость на занятиях.",Inne
Europa - Rosja. Stosunki geopolityczne z perspektywy historycznej,3.0,,"Egzamin ustny lub pisemny
Obecność na zajęciach",Inne
Gruzja w obiektywie: współczesne wyzwania społeczne i polityczne w kinie dokumentalnym,2.0,zdalnie,"Obecność na zajęciach, praca zaliczeniowa (esej).",Inne
Genealogia stosowana. Rodzina jako wspólnota pamięci historycznej,3.0,,"– obecność na zajęciach
– praca pisemna /esej/ lub prezentacja na zakończenie kursu",Inne
Horrory Europy Wschodniej: kultura grozy krajów poradzieckiech,3.0,zdalnie,"Forma zaliczenia
Kryteria oceniania - obecność na zajęciach (dopuszczane są 2 nieusprawiedliwione nieobecności)
- aktywność na zajęciach
- zapoznanie się z materiałami źródłowymi (przede wszystkim wybrane filmy gatunkowe, teksty literackie i analityczne)
- egzamin",Języki i kultury świata
"History, Identity, and Return of Geopolitics: Russo-Ukrainian War in the Postcolonial Context",4.0,zdalnie,(tylko po angielsku) Written esseys (50%) + final exam - written or oral (50%),Inne
Historia nuklearna. Globalne konsekwencje Czarnobyla,3.0,,"– obecność na zajęciach
– praca pisemna /esej/ lub prezentacja",Historia i archeologia
Historia praktyczna. Nauki historyczne w przestrzeni publicznej,3.0,zdalnie,"– obecność na zajęciach
– praca pisemna /esej/ lub prezentacja na zakończenie kursu",Historia i archeologia
International Law – Eastern Perspective,4.0,,"(tylko po angielsku) Application of a renowned U.S. poll tool for interactive
learning in higher education settings, assignments,
multiple-choice (Midterm, Final), attendance",Inne
International Organizations,4.0,,"(tylko po angielsku) Application of a renowned U.S. poll tool for interactive
learning in higher education settings, assignments,
multiple-choice (Midterm, Final), attendance",Inne
"Kaukaskie konflikty - przyczyny, przebieg i skutki",3.0,,"Egzamin ustny lub pisemny
Obecność na zajęciach",Inne
Konflikty narodowe i religijne w Europie Środkowo-Wschodniej,3.0,,"Egzamin ustny lub pisemny 
Obecność na zajęciach",Inne
Kuszenie wolnością: historia i władza w obiektywie kina sowieckiego,3.0,w salizdalnie,"Ocena z zajęć odbywa się na podstawie osiągnięć studenta podczas zajęć wspólnych oraz pracy pisemnej, poświęconej wybranemu zagadnieniu z zakresu omawianej problematyki.",Historia i archeologia
Memory studies: wprowadzenie do problematyki,3.0,,egzamin pisemny // obenośc na zajęciach,Inne
Nigdy u siebie. Repatriacja Polaków z Kazachstanu na tle polityki powrotu państw Europy Środkowej,3.0,,Egzamin pisemny lub ustny,Inne
Polityka bezpieczeństwa państw bałtyckich,3.0,,"1. Frekwencja.
2. Aktywność merytoryczna na zajęciach.
3. Egzamin pisemny na zakończenie przedmiotu.",Prawo i polityka
"Polityka historyczna państw postsowieckich (Rosja, Ukraina, Białoruś)",3.0,w salizdalnie,"Kurs obejmuje cotygodniowe zajęcia w wymiarze 2 godz. wykładu. W ramach zajęć :
 -Na wykładach prezentowany jest materiał dokumentujący (fotografie, prezentacje i video ) i ilustrujący omawiane zagadnienia.
- Część wykładów realizowana jest na zasadzie dyskusji nad zadaną literaturą .
-  ocenianie ciągłe w trakcie zajęć, w tym weryfikacja znajomości  pozycji z listy  lektur
 -  praca pisemna /esej/ lub prezentacja na zakończenie kursu
- obecność na zajęciach",Prawo i polityka
Rewolucje bez karabinów: Europa Środkowa 1973–2004,3.0,,egzamin ustny,Inne
Rosjanie w Królestwie Polskim-propaganda carskiej władzy za panowania cesarza Aleksandra III (1881-1894),3.0,,"Podstawą oceny uczestnika zajęć będzie krótki esej
(5-7 stron) nt. dowolnie wybranego aspektu kultury
Rosjan w Królestwie Polskim. Powinien on spełniać
ogólnie przyjęte wymagania metodologiczne pracy
naukowej.
Poza tym :
- obecność; osoby które opuszczą (bez ważnego i
udokumentowanego powodu) więcej niż trzy zajęcia
nie mogą zaliczyć zajęć.
-aktywność podczas zajęć (udział w dyskusjach itp.)",Inne
„Ruski mir” jako koncepcja i strategia rosyjskiego neoimperializmu,3.0,,"– obecność i aktywność na zajęciach
– praca pisemna /esej/ lub prezentacja",Inne
Russia as a Multinational Polity,4.0,,"Egzamin pisemny. 
Obecność na zajęciach",Inne
"Religie w Rosji, Ukrainie i Białorusi; przeszłość i współczesność",3.0,w salizdalnie,"Kurs obejmuje cotygodniowe zajęcia w wymiarze 2 godz. wykładu W ramach zajęć :
 -Na wykładach prezentowany jest materiał dokumentujący (fotografie, prezentacje i video ) i ilustrujący omawiane zagadnienia.
- Część wykładów realizowana jest na zasadzie dyskusji nad zadaną literaturą .
-  ocenianie ciągłe w trakcie zajęć, w tym weryfikacja znajomości  pozycji z listy  lektur
 -  praca pisemna /esej/ lub prezentacja na zakończenie kursu
-obecność na zajęciach",Inne
Słowacja podczas II wojny światowej,3.0,,Egzamin pisemny,Inne
Ukraina 2022,3.0,zdalnie,"Wymogi:
1. Obecność
- max. 3 nieobecności;
- powyżej 3 nieobecności - zaliczenie poszczególnych tematów;
- od 7 nieobecności - skreślenie.",Inne
Ustroje polityczne państw Europy Środkowej i Bałkanów,3.0,,"Ustny egzamin, odpowiedź na 2 pytania z listy 30 pytań
uprzednio rozesłanych grupie studentów. Na ocenę w 100 %
wpływa pozytywna odpowiedź na pytania egzaminacyjne.",Inne
"Václav Havel - pisarz, dysydent, prezydent",3.0,,"Wykład, prezentacja, film, dyskusja, burza mózgów. 
Warunkiem zaliczenia przedmiotu: esej – Analiza wybranego tekstu (wybranych tekstów) V. Havla (Times New Roman, 12, 8 stron).",Inne
"Współczesna Gruzja. Życie codzienne, społeczeństwo, kultura, polityka",2.0,zdalnie,"- obecność na zajęciach
- praca zaliczeniowa (esej)","Języki i kultury świata, Prawo i polityka"
Wojna hybrydowa - współczesne narzędzie (geo)polityki. Wymiar wschodnio-europejski,3.0,zdalniezdalnie,"1) Obecność i aktywność na zajęciach;
2) egzamin ustny;",Inne
Żydowska Atlantyda: zaginiony świat sztetla na Litwie,3.0,zdalnie,"Egzamin pisemny (esej)
Obecność na zajęciach",Inne
Zakaukazie w okresie sowieckim i postsowieckim,3.0,,"W ocenie będą stosowane następujące kryteria:
-obecność na zajęciach
- ocena ciągła (bieżące przygotowanie do zajęć i aktywność)
- praca semestralna (esej) na zakończenie kursu",Inne
Zjawisko wielokulturowości miast i miasteczek na ziemiach Wielkiego Księstwa Litewskiego,3.0,,"Egzamin pisemny 
Obecność na zajęciach",Inne
Translatorium filozoficzne angielskie,6.0,,"Zajęcia będą zaliczane na ocenę na podstawie pisemnych prac tłumaczeniowych. Ocenie podlegać będzie wierność przekładu, jego spójność terminologiczna, poprawność w języku polskim oraz edycja tekstu.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 4 w ciągu roku",Inne
Od ascety do cyborga,2.0,,"Warunkiem zaliczenia przedmiotu jest obecność oraz krótki tekst poświęcony zagadnieniom omawianym na zajęciach.
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
"Ancient Philosophies of Self-cultivation in Greece, India and China",2.0,,"Asessment criteria: In order to receive credit all students need to either write an essay on a selected topic or pass an oral exam based on selected readings. 
Number of absences: 2",Inne
Etyka badań naukowych,10.0,,"Przedmiot kończy się egzaminem.
Na finalną ocenę składa się:
- przygotowanie do zajęć i aktywny, konstruktywny udział w dyskusjach, warsztatach i pracach na zajęciach – 20 %
- przygotowanie i wygłoszenie 2 referatów – 10%
- przygotowanie pisemnej, metodycznej analizy i oceny etycznej projektu badawczego (indywidualnie lub w grupie) – 20 %
- przygotowanie lub zaopiniowanie projektu dokumentu regulacyjnego z zakresu etyki badań naukowych (np. kodeksu dobrej praktyki badawczej, regulaminu komisji bioetycznej – 20%
- egzamin ustny – 30%
Skala ocen:
100-90% - 5,0; 89-85% - 4,5; 84-75% - 4,0; 74-70% - 3,5; 69-60% - 3,0; 59-0% - 2,0
Dopuszczalna liczba nieobecności w semestrze podlegających usprawiedliwieniu: 2",Inne
Etyka globalna i środowiskowa,10.0,,"Aktywność – 20%
Referat – 20%
Pisemna ocena projektu badań naukowych z udziałem jednostek lub społeczności szczególnie podatnych na skrzywdzenie i wykorzystanie (vulnerable) lub z krajów o niskich i średnich dochodach realizującego cele zrównoważonego rozwoju – 15%
Pisemny projekt/ocena projektu działania na rzecz ochrony lub promocji zdrowia albo edukacji zdrowotnej realizującego cele zrównoważonego rozwoju – 15%
Egzamin ustny 30%
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
Etyka kliniczna,10.0,,"Od r.ak. 2023/24
‒ aktywność (w tym obecność, przygotowanie do zajęć, udział w dyskusjach i pracach seminaryjnych) – 20 % 
‒ przygotowanie i wygłoszenie referatu –  5% 
‒ przygotowanie pisemnej analizy krytycznej wybranego tekstu z zakresu tematyki seminarium – 10% (2 x 5%)
‒ indywidualne przygotowanie pisemnej, metodycznej rekomendacji etycznej dotyczącej wybranego przypadku klinicznego –  10 % (2 x 5%)
‒ przygotowanie w grupie pisemnej, metodycznej rekomendacji etycznej dotyczącej wybranego przypadku klinicznego –  10 % (2 x 5%)
‒ esej monograficzny z zakresu tematyki seminarium – 20% 
‒ egzamin ustny – 25%
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze
Do r.ak. 2022/23
‒ przygotowanie do zajęć i aktywny, konstruktywny udział w dyskusjach i pracach na zajęciach – 25 %
‒ przygotowanie i wygłoszenie referatu wprowadzającego do dyskusji na zajęciach – 15%
‒ praca pisemna z zakresu tematyki seminarium – 30%
‒ egzamin ustny - 30%
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 1 w semestrze",Inne
"Społeczeństwo, kultura i zdrowie",6.0,,"Na finalną ocenę składa się: 
- przygotowanie do zajęć i aktywny, konstruktywny udział w dyskusjach i pracach na zajęciach – 30 % 
- napisanie pracy na podstawie zaprojektowanego i przeprowadzonego projektu badawczego z zakresu socjologii lub antropologii medycyny – 70% 
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Języki i kultury świata
Wstęp do bioetyki,3.0,,"Zajęcia kończą się pisemnych kolokwium składającym się z pytań otwartych i zamkniętych (test). W czasie semestru każdy student/studentka przygotowuje jeden referat z lektury dodatkowej. Ocena końcowa jest średnią ważoną z oceny za aktywność, referat oraz z kolokwium. Nie można zaliczyć zajęć bez zaliczenia kolokwium. 
Komponenty oceny:
(1) przygotowanie i aktywność na zajęciach [40%]
(2) kolokwium [40%]
(3) referat [20%]
Oceny z kolokwium są wystawiane według następującej skali:
100-90% - ocena 5,0
89-85% - ocena 4,5
84-75% - ocena 4,0
74-70% - ocena 3,5
69-60% - ocena 3,0
59-0% - ocena 2
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: dwie w semestrze",Inne
"Zarządzanie życiem, kontrola terytorium: filozoficzne źródła biopolityki oraz geopolityki",6.0,,"aktywność (udział w dyskusji, przygotowanie) – 25%; samodzielna prezentacja materiału (wybór literatury dodatkowej, prowadzenie dyskusji, umiejętność wskazania głównego problemu oraz argumentacji) – 25 %; przygotowanie ostatecznej wersji prezentacji ( uwzględniającej przebieg dyskusji) – 50%:
Liczba dopuszczalnych nieobecności: 2 w semestrze",Ekonomia i zarządzanie
Epistemologia doświadczenia religijnego: czytanie książek „Bóg i filozofia” Étienne Gilson'a i „Problem Boga w filozofii religii” Henry'ego Duméry,6.0,,"Warunkiem zaliczenia seminarium jest aktywny udział w zajęciach (40%) oraz przygotowanie co najmniej jednego protokołu z zajęć z własnym komentarzem albo przygotowanie i przeprowadzenie referatu w ramach seminarium, albo praca pisemna na zatwierdzony przez prowadzącego temat związany z seminarium (60%).
Dodatkowe kryteria oceniania dla doktorantów:
Przygotowanie i wygłoszenie referatu z samodzielną interpretacją wybranego fragmentu książki omawianego na seminarium, bądź uzgodnionego z prowadzącymi innego tekstu powiązanego z tematem seminarium. Przygotowana interpretacja powinna zawierać wyraźnie sformułowane własne tezy autora w sposób, który umożliwi zajęcie stanowiska w stosunku do nich przez uczestników seminarium).
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 3",Filozofia i religia
Estetyka,4.0,,"Końcowy sprawdzian pisemny (test); aby uzyskać ocenę pozytywną trzeba będzie uzyskać 60% punktów
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2 w semestrze",Inne
